"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","significance"
"SLC25A5",-0.246778546103037,6.00149272479338,-4.3291304894827,1.81980252784956e-05,3.67358387860153e-05,1.7967731185246,"Not_significant"
"XRN1",0.263369757356329,4.40993172615633,4.32600299897703,1.8448402964069e-05,3.72324692145825e-05,1.7837670206274,"Not_significant"
"PGM5",0.348388202996333,2.84100719885898,4.32298468716402,1.86931591099728e-05,3.77175223147361e-05,1.77122320499982,"Not_significant"
"CAPZB",0.199165059985358,5.64120173224742,4.32222375019574,1.87553517568614e-05,3.78340716474619e-05,1.7680621024206,"Not_significant"
"CDC42EP4",0.266037067307984,3.72539113722865,4.32212502801136,1.87634349594849e-05,3.78414399029423e-05,1.76765202609882,"Not_significant"
"SUPT3H",-0.203954813663555,3.12718155715737,-4.31970921507236,1.89622780692067e-05,3.82334317726851e-05,1.75761982327561,"Not_significant"
"RAB22A",-0.248774979393683,4.32960047136054,-4.31956085531024,1.89745548003699e-05,3.82491556643755e-05,1.75700389541911,"Not_significant"
"CWC22",0.199166316316246,3.58737429720661,4.31806406725114,1.90988391526028e-05,3.84906052860738e-05,1.75079095091383,"Not_significant"
"MAN2B2",-0.283824714543014,5.07407488439049,-4.31768245986212,1.91306497575063e-05,3.85456191504745e-05,1.74920727426473,"Not_significant"
"SAR1A",0.176642899481624,4.35536162820179,4.31742795361309,1.91518934045576e-05,3.85793211246052e-05,1.74815114135374,"Not_significant"
"RIOK1",-0.217925231312345,3.10369971709608,-4.31682991415856,1.92019005191611e-05,3.86709342924204e-05,1.74566966425499,"Not_significant"
"MX1",-0.60751510625666,5.40564523152479,-4.31438906313691,1.94072972009541e-05,3.90753713798559e-05,1.73554501024096,"Down_in_Sepsis"
"SEL1L3",0.346360379094282,4.45731531611295,4.3141004240247,1.94317243906277e-05,3.91153330238867e-05,1.73434808522664,"Not_significant"
"SPRYD3",-0.345671328504412,4.68839649809918,-4.31403344408357,1.94373970218301e-05,3.91175325078818e-05,1.73407034425244,"Not_significant"
"KIAA1143",-0.209796471933796,3.91773036596333,-4.31050153827532,1.97387707441128e-05,3.9714685730381e-05,1.71943049629471,"Not_significant"
"ACP1",-0.255303996427689,4.40996141505303,-4.30949349641977,1.98256013775909e-05,3.98799956113999e-05,1.71525417110534,"Not_significant"
"MAPRE2",-0.240949241442849,3.95121695749552,-4.30845670885396,1.9915288670546e-05,4.00509725771446e-05,1.71095969566756,"Not_significant"
"CEBPG",0.284585156269726,4.11191540318698,4.30819224351562,1.9938228203216e-05,4.00876664509576e-05,1.70986440753734,"Not_significant"
"STAG2",0.1978286870171,5.17181620118027,4.30812307807089,1.99442317263215e-05,4.00902996409772e-05,1.70957796782794,"Not_significant"
"SYT11",0.279947473045377,3.68341991315565,4.30626863512303,2.01058416665953e-05,4.04056455704449e-05,1.70189962075083,"Not_significant"
"ARFGAP1",0.221758916636415,3.80471135427272,4.30340198324374,2.03581266899847e-05,4.09030251844647e-05,1.69003623219173,"Not_significant"
"IGF2BP2",0.411691642544865,4.73903389834608,4.30084127623409,2.05860407427438e-05,4.13512168353186e-05,1.67944515645881,"Not_significant"
"FBRSL1",-0.161515312051758,3.85523124824931,-4.30031778383829,2.06329329034402e-05,4.14356642201464e-05,1.67728071243955,"Not_significant"
