gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
C1orf122,GSE95233,22,51,5.98594967863636,6.90354934686275,5.994764905,6.81029623,0.917599668226382,Up_in_Sepsis,0.997326203208556,2.05178515500888e-11,GSE236713
LSM1,GSE137340,14,43,7.61454243021429,9.32111924697674,7.200940099,9.314683178,1.70657681676246,Up_in_Sepsis,0.872093023255814,8.24463721259666e-06,GSE236713
LSM1,GSE54514,18,35,9.95894940738889,9.93707817688571,9.9005708695,9.932846069,-0.0218712305031747,Down_in_Sepsis,0.503174603174603,0.977524215947941,GSE236713
LSM1,GSE57065,25,28,6.628174,7.287845,6.61753,7.33372,0.659671,Up_in_Sepsis,0.867142857142857,1.05444778975106e-06,GSE236713
LSM1,GSE65682,42,51,4.61533877430952,5.0474343032549,4.552799783,5.006598047,0.432095528945379,Up_in_Sepsis,0.773576097105509,6.18231329672613e-06,GSE236713
LSM1,GSE95233,22,51,5.79109010363636,7.40464280215686,5.770638385,7.38596057,1.6135526985205,Up_in_Sepsis,0.999108734402852,1.73990990394731e-11,GSE236713
MYL6,GSE137340,14,43,11.5547110764286,13.3530571833721,11.23322335,13.378159035,1.79834610694352,Up_in_Sepsis,0.883720930232558,3.58984112855028e-06,GSE236713
MYL6,GSE54514,18,35,14.0560826988889,14.0023943494286,14.0796282275,14.02239037,-0.053688349460316,Down_in_Sepsis,0.462698412698413,0.665758538067329,GSE236713
MYL6,GSE57065,25,28,8.32053,9.05009625,8.315935,9.021985,0.72956625,Up_in_Sepsis,0.977142857142857,2.02447924656227e-12,GSE236713
MYL6,GSE65682,42,51,7.93144881381746,8.30554739204575,7.954968272,8.33785312533333,0.37409857822829,Up_in_Sepsis,0.849673202614379,7.54073941898776e-09,GSE236713
MYL6,GSE95233,22,51,9.4978444025,10.212754942549,9.4711862575,10.24149225,0.714910540049019,Up_in_Sepsis,1,1.60188706567253e-11,GSE236713
AMPD3,GSE137340,14,43,4.36509475144643,4.68890040339535,4.296762221125,4.53612638225,0.32380565194892,Up_in_Sepsis,0.875415282392027,6.53811501196993e-06,GSE236713
AMPD3,GSE54514,18,35,7.29428671475,7.31056830541429,7.2981749775,7.321006298,0.0162815906642857,Up_in_Sepsis,0.549206349206349,0.570192060596712,GSE236713
AMPD3,GSE57065,25,28,5.8322058,6.35802803571429,5.837835,6.4217775,0.525822235714286,Up_in_Sepsis,0.85,3.9780779302043e-06,GSE236713
AMPD3,GSE65682,42,51,4.17677488671088,4.84328482955182,4.07739916885715,4.95547766242857,0.666509942840937,Up_in_Sepsis,0.823529411764706,8.9871630261376e-08,GSE236713
AMPD3,GSE95233,22,51,6.01882713477273,6.95985164745098,6.02174542,6.941334765,0.941024512678253,Up_in_Sepsis,0.99108734402852,3.63757408976493e-11,GSE236713
PAG1,GSE137340,14,43,5.51632154159524,6.15754106222481,5.29822207983333,6.202516717,0.641219520629569,Up_in_Sepsis,0.789036544850498,0.000882837458545004,GSE236713
PAG1,GSE54514,18,35,8.2100920325,8.37161277133333,8.173513651,8.362077554,0.161520738833334,Up_in_Sepsis,0.59047619047619,0.29165367273141,GSE236713
PAG1,GSE57065,25,28,8.15291586666667,9.19319952380952,8.24024333333333,9.22081666666667,1.04028365714286,Up_in_Sepsis,0.94,6.82419872104583e-10,GSE236713
