gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening
DRAM1,1.27096533846066,9.00981409578775e-48,Up_in_Sepsis,6,6,1,0.858182182847299,0.8827211517165,0.6,0.990196078431373,5,5,5,5,FALSE,1,0.94374961383299,0.821739130434783,0.22007021174563,0.467427750265131,0,0.736139060503472,TRUE
UBE2C,1.24947384397009,3.89895074854973e-47,Up_in_Sepsis,6,6,1,0.871699317321479,0.941346235463883,0.585714285714286,0.988533333333334,5,5,5,5,FALSE,1,0.961554986280966,0.802173913043478,0.213635421893241,0.450748218087587,0,0.735912717933556,TRUE
CCNA1,1.72130165399814,1.6952134371619e-39,Up_in_Sepsis,6,6,1,0.866458672057031,0.908547899159664,0.587301587301587,0.989304812834225,5,5,5,5,FALSE,1,0.954651774584769,0.804347826086956,0.354905858222169,0.250502243143181,0,0.735333809336118,TRUE
SLC26A8,1.74489405834993,5.94696587749987e-39,Up_in_Sepsis,6,6,1,0.862768368197643,0.909143743078627,0.586367880485527,1,5,5,4,5,FALSE,1,0.949790741738783,0.80306905370844,0.361969683596574,0.236212594954054,0,0.733314292612792,TRUE
OPLAH,1.80151583675924,7.25927093520287e-43,Up_in_Sepsis,6,6,1,0.861881601238099,0.908772599949071,0.523809523809524,0.9904,5,5,5,5,FALSE,1,0.948622652746297,0.717391304347826,0.378922866879957,0.338806821947001,0,0.732914603702757,TRUE
HSD3B7,1.15089192404554,1.86882732032183e-33,Up_in_Sepsis,6,6,1,0.846198076129677,0.874252491694352,0.561904761904762,1,5,5,4,5,TRUE,1,0.927963613925156,0.769565217391304,0.184118910687475,0.0920954086457498,1,0.730651244253939,TRUE
ST6GALNAC3,1.51536123367492,7.87619328163532e-48,Up_in_Sepsis,6,6,1,0.852067870681277,0.91617984496124,0.523809523809524,0.988413547237077,5,5,4,5,FALSE,1,0.93569556912498,0.717391304347826,0.29324503107615,0.468958757629112,0,0.729199996814002,TRUE
IL1R1,1.44142444258116,5.35698938474953e-31,Up_in_Sepsis,6,6,1,0.829205850044975,0.887765669988926,0.546031746031746,0.975044563279857,5,4,4,5,TRUE,1,0.905580695804731,0.747826086956522,0.27110754253355,0.0276731845512384,1,0.727281571620054,TRUE
FKBP5,1.3529997358337,1.22818260496759e-34,Up_in_Sepsis,6,6,1,0.814069396196345,0.892815946843854,0.538888888888889,0.993761140819965,4,4,4,5,TRUE,1,0.88564228364857,0.738043478260869,0.244632212680211,0.123090890405642,1,0.725403127776297,TRUE
CCPG1,1.17246560726343,2.82345891272675e-49,Up_in_Sepsis,6,6,1,0.859740306063699,0.919010409745294,0.546031746031746,0.968805704099822,5,5,5,5,FALSE,1,0.945802043232196,0.747826086956522,0.190578308748883,0.506855073475569,0,0.725186779673026,TRUE
ITGAM,0.898251289683477,6.63341296076986e-32,Up_in_Sepsis,6,6,1,0.850736884314449,0.892621483942414,0.598412698412698,0.997142857142857,5,4,4,5,TRUE,1,0.933942334515247,0.819565217391304,0.108475525765709,0.0514560223911397,1,0.72453441406724,TRUE
DDAH2,1.34834604645495,1.04481047628312e-48,Up_in_Sepsis,6,6,1,0.856434219598105,0.910677497665733,0.507936507936508,0.998217468805704,5,5,5,5,FALSE,1,0.941447118674956,0.695652173913043,0.24323884689061,0.491957604918683,0,0.722463549214903,TRUE
